user_id,email,display_name,role,scope_wh_id,scope_store_id,last_login_at
00000000-0000-0000-0000-000000000001,hq-admin@bookflow.local,HQ Admin,hq-admin,,,2026-05-01T16:01:35+09:00
66e04f77-bc4a-5b99-96cc-470817927a5b,wh1-manager@bookflow.local,WH1 Manager,wh-manager,1,,2026-05-01T14:01:35+09:00
2565d4b6-e9af-5c35-860a-1acd9322e3b6,wh2-manager@bookflow.local,WH2 Manager,wh-manager,2,,2026-05-01T14:01:35+09:00
db8eeb57-15e6-529b-8b50-ca7457260394,branch3@bookflow.local,Branch 3 Clerk,branch-clerk,1,3,2026-04-30T21:01:35+09:00
982c65a7-d6b9-5f9f-905b-fe92e8e453e5,branch4@bookflow.local,Branch 4 Clerk,branch-clerk,1,4,2026-05-01T14:01:35+09:00
81b3bff4-6c55-5d1c-97a4-14d1eaa53b31,branch5@bookflow.local,Branch 5 Clerk,branch-clerk,1,5,2026-05-01T17:01:35+09:00
b1c2723f-0980-57de-9303-233e754e6972,branch6@bookflow.local,Branch 6 Clerk,branch-clerk,1,6,2026-04-30T18:01:35+09:00
d677dda4-f400-5175-b207-11cf64b8e9cf,branch7@bookflow.local,Branch 7 Clerk,branch-clerk,1,7,2026-05-01T09:01:35+09:00
bc07da9f-a3e3-52cc-bcf2-963f8dad79a6,branch8@bookflow.local,Branch 8 Clerk,branch-clerk,1,8,2026-05-01T10:01:35+09:00
851b4b4e-1949-56a9-ba0e-366de0c5d04a,branch9@bookflow.local,Branch 9 Clerk,branch-clerk,2,9,2026-05-01T10:01:35+09:00
1a35d1ab-287d-547c-9a1a-7fbcb8b1209c,branch10@bookflow.local,Branch 10 Clerk,branch-clerk,2,10,2026-05-01T13:01:35+09:00
207a588e-996e-5c0d-a518-5ef387873782,branch11@bookflow.local,Branch 11 Clerk,branch-clerk,2,11,2026-04-30T18:01:35+09:00
529b071b-df05-573f-b0c1-4d96d75203c6,branch12@bookflow.local,Branch 12 Clerk,branch-clerk,2,12,2026-05-01T14:01:35+09:00
4e517fab-1403-5c86-9224-80def74a326a,branch13@bookflow.local,Branch 13 Clerk,branch-clerk,2,13,2026-04-30T20:01:35+09:00
2d0a352a-d8f4-5e7a-82ef-346757d85b3f,branch14@bookflow.local,Branch 14 Clerk,branch-clerk,2,14,2026-04-30T18:01:35+09:00
